 Total battles: 716
 Avg. weight/team: 0.543
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Starmie            | 40.79684% | 533    | 37.221% | 479    | 38.259% | 
 | 2    | Tyranitar          | 31.16132% | 413    | 28.841% | 360    | 28.754% | 
 | 3    | Heatran            | 28.49569% | 405    | 28.282% | 368    | 29.393% | 
 | 4    | Jirachi            | 26.96710% | 318    | 22.207% | 278    | 22.204% | 
 | 5    | Scizor             | 24.47024% | 311    | 21.718% | 253    | 20.208% | 
 | 6    | Flygon             | 23.49953% | 318    | 22.207% | 266    | 21.246% | 
 | 7    | Infernape          | 20.39824% | 291    | 20.321% | 241    | 19.249% | 
 | 8    | Gyarados           | 18.73357% | 254    | 17.737% | 213    | 17.013% | 
 | 9    | Dragonite          | 17.66245% | 245    | 17.109% | 193    | 15.415% | 
 | 10   | Skarmory           | 17.61185% | 234    | 16.341% | 216    | 17.252% | 
 | 11   | Rotom-Wash         | 16.08377% | 195    | 13.617% | 168    | 13.419% | 
 | 12   | Breloom            | 16.01034% | 238    | 16.620% | 204    | 16.294% | 
 | 13   | Metagross          | 16.00023% | 230    | 16.061% | 198    | 15.815% | 
 | 14   | Zapdos             | 15.90312% | 217    | 15.154% | 190    | 15.176% | 
 | 15   | Blissey            | 15.55265% | 231    | 16.131% | 186    | 14.856% | 
 | 16   | Azelf              | 15.16071% | 209    | 14.595% | 199    | 15.895% | 
 | 17   | Swampert           | 14.32502% | 199    | 13.897% | 191    | 15.256% | 
 | 18   | Celebi             | 11.99059% | 169    | 11.802% | 146    | 11.661% | 
 | 19   | Suicune            | 11.61909% | 157    | 10.964% | 129    | 10.304% | 
 | 20   | Gengar             | 11.53732% | 238    | 16.620% | 208    | 16.613% | 
 | 21   | Forretress         | 10.84515% | 168    | 11.732% | 159    | 12.700% | 
 | 22   | Roserade           |  9.49470% | 116    |  8.101% | 110    |  8.786% | 
