 Total battles: 868
 Avg. weight/team: 0.072
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 35.31946% | 393    | 22.638% | 338    | 23.590% | 
 | 2    | Heatran            | 31.16593% | 388    | 22.350% | 302    | 21.077% | 
 | 3    | Garchomp           | 27.75699% | 359    | 20.680% | 299    | 20.868% | 
 | 4    | Starmie            | 23.99407% | 305    | 17.569% | 249    | 17.378% | 
 | 5    | Skarmory           | 23.46387% | 239    | 13.767% | 212    | 14.796% | 
 | 6    | Landorus-Therian   | 21.66979% | 211    | 12.154% | 197    | 13.749% | 
 | 7    | Forretress         | 20.83200% | 188    | 10.829% | 168    | 11.725% | 
 | 8    | Politoed           | 19.66602% | 325    | 18.721% | 285    | 19.891% | 
 | 9    | Scizor             | 19.32266% | 282    | 16.244% | 228    | 15.913% | 
 | 10   | Latios             | 16.44951% | 304    | 17.512% | 232    | 16.192% | 
 | 11   | Celebi             | 16.37317% | 117    |  6.740% | 91     |  6.351% | 
 | 12   | Terrakion          | 14.60269% | 186    | 10.714% | 158    | 11.027% | 
 | 13   | Hippowdon          | 14.22486% | 103    |  5.933% | 102    |  7.119% | 
 | 14   | Latias             | 13.57948% | 162    |  9.332% | 131    |  9.143% | 
 | 15   | Ferrothorn         | 13.24339% | 290    | 16.705% | 253    | 17.657% | 
 | 16   | Jellicent          | 13.19142% | 146    |  8.410% | 129    |  9.003% | 
 | 17   | Jirachi            | 12.23276% | 246    | 14.171% | 217    | 15.145% | 
 | 18   | Gothitelle         | 12.19003% | 73     |  4.205% | 58     |  4.048% | 
 | 19   | Breloom            | 11.15338% | 230    | 13.249% | 180    | 12.563% | 
 | 20   | Keldeo             | 10.32082% | 193    | 11.118% | 144    | 10.050% | 
 | 21   | Amoonguss          |  9.99464% | 71     |  4.090% | 56     |  3.908% | 
 | 22   | Thundurus-Therian  |  9.79965% | 74     |  4.263% | 63     |  4.397% | 
 | 23   | Magnezone          |  9.43595% | 118    |  6.797% | 88     |  6.142% | 
 | 24   | Gyarados           |  9.40541% | 133    |  7.661% | 105    |  7.328% | 
 | 25   | Tentacruel         |  8.66085% | 131    |  7.546% | 107    |  7.468% | 
 | 26   | Dragonite          |  8.66063% | 288    | 16.590% | 234    | 16.331% | 
 | 27   | Volcarona          |  8.54545% | 254    | 14.631% | 193    | 13.470% | 
 | 28   | Ninetales          |  7.53431% | 170    |  9.793% | 159    | 11.097% | 
 | 29   | Dugtrio            |  7.53169% | 90     |  5.184% | 75     |  5.234% | 
 | 30   | Tornadus           |  6.88663% | 95     |  5.472% | 77     |  5.374% | 
 | 31   | Reuniclus          |  6.88542% | 81     |  4.666% | 63     |  4.397% | 
 | 32   | Mamoswine          |  6.70423% | 92     |  5.300% | 84     |  5.863% | 
 | 33   | Venusaur           |  6.61693% | 130    |  7.488% | 105    |  7.328% | 
 | 34   | Gliscor            |  5.97951% | 145    |  8.353% | 123    |  8.584% | 
 | 35   | Blissey            |  5.93170% | 75     |  4.320% | 61     |  4.257% | 
 | 36   | Stoutland          |  5.28720% | 49     |  2.823% | 36     |  2.513% | 
 | 37   | Salamence          |  5.13041% | 96     |  5.530% | 73     |  5.095% | 
 | 38   | Mew                |  4.93599% | 91     |  5.242% | 77     |  5.374% | 
 | 39   | Slowbro            |  4.85571% | 39     |  2.247% | 33     |  2.303% | 
 | 40   | Gengar             |  4.66851% | 159    |  9.159% | 126    |  8.794% | 
 | 41   | Hydreigon          |  3.95742% | 124    |  7.143% | 103    |  7.189% | 
 | 42   | Toxicroak          |  3.65450% | 68     |  3.917% | 48     |  3.350% | 
 | 43   | Rotom-Wash         |  3.44202% | 155    |  8.929% | 135    |  9.422% | 
 | 44   | Gastrodon          |  3.37831% | 31     |  1.786% | 28     |  1.954% | 
 | 45   | Weavile            |  3.30995% | 45     |  2.592% | 37     |  2.582% | 
 | 46   | Raikou             |  3.12537% | 14     |  0.806% | 13     |  0.907% | 
 | 47   | Feraligatr         |  3.09905% | 9      |  0.518% | 3      |  0.209% | 
 | 48   | Kyurem-Black       |  2.96136% | 75     |  4.320% | 58     |  4.048% | 
 | 49   | Cloyster           |  2.95722% | 110    |  6.336% | 84     |  5.863% | 
 | 50   | Wobbuffet          |  2.77314% | 26     |  1.498% | 22     |  1.535% | 
 | 51   | Aron               |  2.77004% | 16     |  0.922% | 11     |  0.768% | 
 | 52   | Hitmontop          |  2.77004% | 14     |  0.806% | 11     |  0.768% | 
 | 53   | Gorebyss           |  2.64574% | 88     |  5.069% | 75     |  5.234% | 
 | 54   | Machamp            |  2.48511% | 47     |  2.707% | 40     |  2.792% | 
 | 55   | Chansey            |  2.47352% | 64     |  3.687% | 52     |  3.629% | 
 | 56   | Virizion           |  2.45843% | 19     |  1.094% | 18     |  1.256% | 
 | 57   | Kyurem             |  2.33564% | 35     |  2.016% | 26     |  1.815% | 
 | 58   | Jolteon            |  2.20430% | 47     |  2.707% | 39     |  2.722% | 
 | 59   | Infernape          |  2.09981% | 81     |  4.666% | 69     |  4.816% | 
 | 60   | Donphan            |  2.00349% | 62     |  3.571% | 56     |  3.908% | 
 | 61   | Alakazam           |  1.91454% | 89     |  5.127% | 60     |  4.188% | 
 | 62   | Espeon             |  1.87506% | 55     |  3.168% | 40     |  2.792% | 
 | 63   | Zapdos             |  1.83711% | 57     |  3.283% | 51     |  3.559% | 
 | 64   | Abomasnow          |  1.77348% | 28     |  1.613% | 24     |  1.675% | 
 | 65   | Mienshao           |  1.42378% | 33     |  1.901% | 30     |  2.094% | 
 | 66   | Lucario            |  1.39780% | 52     |  2.995% | 43     |  3.001% | 
 | 67   | Azumarill          |  1.35477% | 24     |  1.382% | 17     |  1.186% | 
 | 68   | Conkeldurr         |  1.34175% | 42     |  2.419% | 35     |  2.443% | 
 | 69   | Crobat             |  1.34114% | 25     |  1.440% | 20     |  1.396% | 
 | 70   | Roserade           |  1.14727% | 26     |  1.498% | 18     |  1.256% | 
 | 71   | Darmanitan         |  1.06768% | 50     |  2.880% | 41     |  2.861% | 
 | 72   | Milotic            |  1.03772% | 33     |  1.901% | 31     |  2.164% | 
 | 73   | Metagross          |  0.87922% | 56     |  3.226% | 46     |  3.210% | 
 | 74   | Heracross          |  0.87530% | 54     |  3.111% | 47     |  3.280% | 
 | 75   | Tangrowth          |  0.73938% | 33     |  1.901% | 26     |  1.815% | 
 | 76   | Victreebel         |  0.73076% | 32     |  1.843% | 25     |  1.745% | 
 | 77   | Bronzong           |  0.60256% | 27     |  1.555% | 22     |  1.535% | 
 | 78   | Vaporeon           |  0.57899% | 75     |  4.320% | 54     |  3.769% | 
