 Total battles: 868
 Avg. weight/team: 0.541
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 25.96173% | 393    | 22.638% | 338    | 23.590% | 
 | 2    | Heatran            | 25.26690% | 388    | 22.350% | 302    | 21.077% | 
 | 3    | Garchomp           | 22.43862% | 359    | 20.680% | 299    | 20.868% | 
 | 4    | Starmie            | 19.26283% | 305    | 17.569% | 249    | 17.378% | 
 | 5    | Politoed           | 18.15910% | 325    | 18.721% | 285    | 19.891% | 
 | 6    | Latios             | 17.95822% | 304    | 17.512% | 232    | 16.192% | 
 | 7    | Skarmory           | 16.92343% | 239    | 13.767% | 212    | 14.796% | 
 | 8    | Scizor             | 16.83013% | 282    | 16.244% | 228    | 15.913% | 
 | 9    | Ferrothorn         | 16.25187% | 290    | 16.705% | 253    | 17.657% | 
 | 10   | Jirachi            | 15.16583% | 246    | 14.171% | 217    | 15.145% | 
 | 11   | Volcarona          | 14.79686% | 254    | 14.631% | 193    | 13.470% | 
 | 12   | Dragonite          | 14.69456% | 288    | 16.590% | 234    | 16.331% | 
 | 13   | Landorus-Therian   | 14.60691% | 211    | 12.154% | 197    | 13.749% | 
 | 14   | Breloom            | 14.09360% | 230    | 13.249% | 180    | 12.563% | 
 | 15   | Forretress         | 11.87015% | 188    | 10.829% | 168    | 11.725% | 
 | 16   | Terrakion          | 11.86738% | 186    | 10.714% | 158    | 11.027% | 
 | 17   | Keldeo             | 11.54667% | 193    | 11.118% | 144    | 10.050% | 
 | 18   | Latias             | 10.90790% | 162    |  9.332% | 131    |  9.143% | 
 | 19   | Jellicent          |  9.94545% | 146    |  8.410% | 129    |  9.003% | 
 | 20   | Rotom-Wash         |  8.99623% | 155    |  8.929% | 135    |  9.422% | 
 | 21   | Gengar             |  8.87016% | 159    |  9.159% | 126    |  8.794% | 
 | 22   | Ninetales          |  8.81867% | 170    |  9.793% | 159    | 11.097% | 
 | 23   | Celebi             |  8.58151% | 117    |  6.740% | 91     |  6.351% | 
 | 24   | Gliscor            |  8.20102% | 145    |  8.353% | 123    |  8.584% | 
 | 25   | Hippowdon          |  7.75829% | 103    |  5.933% | 102    |  7.119% | 
 | 26   | Gyarados           |  7.69149% | 133    |  7.661% | 105    |  7.328% | 
 | 27   | Tentacruel         |  7.65961% | 131    |  7.546% | 107    |  7.468% | 
 | 28   | Venusaur           |  6.96980% | 130    |  7.488% | 105    |  7.328% | 
 | 29   | Hydreigon          |  6.90473% | 124    |  7.143% | 103    |  7.189% | 
 | 30   | Magnezone          |  6.42300% | 118    |  6.797% | 88     |  6.142% | 
 | 31   | Cloyster           |  6.02418% | 110    |  6.336% | 84     |  5.863% | 
 | 32   | Gothitelle         |  5.59533% | 73     |  4.205% | 58     |  4.048% | 
 | 33   | Salamence          |  5.52760% | 96     |  5.530% | 73     |  5.095% | 
 | 34   | Tornadus           |  5.52122% | 95     |  5.472% | 77     |  5.374% | 
 | 35   | Mamoswine          |  5.31043% | 92     |  5.300% | 84     |  5.863% | 
 | 36   | Reuniclus          |  5.20676% | 81     |  4.666% | 63     |  4.397% | 
 | 37   | Dugtrio            |  5.18878% | 90     |  5.184% | 75     |  5.234% | 
 | 38   | Amoonguss          |  5.16513% | 71     |  4.090% | 56     |  3.908% | 
 | 39   | Gorebyss           |  5.10476% | 88     |  5.069% | 75     |  5.234% | 
 | 40   | Alakazam           |  5.04745% | 89     |  5.127% | 60     |  4.188% | 
 | 41   | Thundurus-Therian  |  5.00491% | 74     |  4.263% | 63     |  4.397% | 
 | 42   | Mew                |  4.97535% | 91     |  5.242% | 77     |  5.374% | 
 | 43   | Blissey            |  4.37853% | 75     |  4.320% | 61     |  4.257% | 
 | 44   | Kyurem-Black       |  4.19802% | 75     |  4.320% | 58     |  4.048% | 
 | 45   | Infernape          |  3.89237% | 81     |  4.666% | 69     |  4.816% | 
 | 46   | Toxicroak          |  3.86440% | 68     |  3.917% | 48     |  3.350% | 
 | 47   | Chansey            |  3.79804% | 64     |  3.687% | 52     |  3.629% | 
 | 48   | Stoutland          |  3.48451% | 49     |  2.823% | 36     |  2.513% | 
 | 49   | Zapdos             |  3.08528% | 57     |  3.283% | 51     |  3.559% | 
 | 50   | Donphan            |  2.85535% | 62     |  3.571% | 56     |  3.908% | 
 | 51   | Vaporeon           |  2.83983% | 75     |  4.320% | 54     |  3.769% | 
 | 52   | Machamp            |  2.78968% | 47     |  2.707% | 40     |  2.792% | 
 | 53   | Metagross          |  2.78287% | 56     |  3.226% | 46     |  3.210% | 
 | 54   | Jolteon            |  2.61875% | 47     |  2.707% | 39     |  2.722% | 
 | 55   | Darmanitan         |  2.61761% | 50     |  2.880% | 41     |  2.861% | 
 | 56   | Espeon             |  2.56895% | 55     |  3.168% | 40     |  2.792% | 
 | 57   | Slowbro            |  2.52956% | 39     |  2.247% | 33     |  2.303% | 
 | 58   | Lucario            |  2.52536% | 52     |  2.995% | 43     |  3.001% | 
