 Total battles: 737681
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Greninja           | 23.08376% | 340569 | 23.084% | 255567 | 21.840% | 
 | 2    | Ferrothorn         | 17.89764% | 264055 | 17.898% | 231488 | 19.782% | 
 | 3    | Rotom-Wash         | 15.97520% | 235692 | 15.975% | 203429 | 17.384% | 
 | 4    | Landorus-Therian   | 14.48228% | 213666 | 14.482% | 185662 | 15.866% | 
 | 5    | Talonflame         | 14.33092% | 211433 | 14.331% | 165268 | 14.123% | 
 | 6    | Heatran            | 13.96640% | 206055 | 13.966% | 173494 | 14.826% | 
 | 7    | Azumarill          | 11.54666% | 170355 | 11.547% | 137286 | 11.732% | 
 | 8    | Latios             | 11.15231% | 164537 | 11.152% | 120508 | 10.298% | 
 | 9    | Charizard          | 10.77390% | 158954 | 10.774% | 126230 | 10.787% | 
 | 10   | Scizor             | 10.65379% | 157182 | 10.654% | 126614 | 10.820% | 
 | 11   | Gengar             | 10.46218% | 154355 | 10.462% | 115853 |  9.900% | 
 | 12   | Latias             |  9.55996% | 141044 |  9.560% | 101936 |  8.711% | 
 | 13   | Garchomp           |  9.37736% | 138350 |  9.377% | 107784 |  9.211% | 
 | 14   | Dragonite          |  9.35953% | 138087 |  9.360% | 102063 |  8.722% | 
 | 15   | Salamence          |  9.29243% | 137097 |  9.292% | 107143 |  9.156% | 
 | 16   | Conkeldurr         |  8.96078% | 132204 |  8.961% | 107245 |  9.165% | 
 | 17   | Excadrill          |  8.87369% | 130919 |  8.874% | 99181  |  8.476% | 
 | 18   | Gliscor            |  8.53079% | 125860 |  8.531% | 98978  |  8.458% | 
 | 19   | Skarmory           |  8.45101% | 124683 |  8.451% | 107153 |  9.157% | 
 | 20   | Tyranitar          |  8.19114% | 120849 |  8.191% | 99173  |  8.475% | 
 | 21   | Magnezone          |  8.09178% | 119383 |  8.092% | 96225  |  8.223% | 
 | 22   | Bisharp            |  8.03491% | 118544 |  8.035% | 89357  |  7.636% | 
 | 23   | Breloom            |  7.93710% | 117101 |  7.937% | 91876  |  7.851% | 
 | 24   | Clefable           |  7.46834% | 110185 |  7.468% | 86436  |  7.387% | 
 | 25   | Metagross          |  7.46047% | 110069 |  7.460% | 87028  |  7.437% | 
 | 26   | Slowbro            |  7.36951% | 108727 |  7.370% | 87649  |  7.490% | 
 | 27   | Chansey            |  6.97985% | 102978 |  6.980% | 79678  |  6.809% | 
 | 28   | Mamoswine          |  6.88116% | 101522 |  6.881% | 84348  |  7.208% | 
 | 29   | Sylveon            |  6.81094% | 100486 |  6.811% | 77530  |  6.625% | 
 | 30   | Venusaur           |  6.14236% | 90622  |  6.142% | 71114  |  6.077% | 
 | 31   | Gardevoir          |  5.70565% | 84179  |  5.706% | 63747  |  5.448% | 
 | 32   | Keldeo             |  5.39481% | 79593  |  5.395% | 61420  |  5.249% | 
 | 33   | Gyarados           |  5.24387% | 77366  |  5.244% | 62472  |  5.339% | 
 | 34   | Sceptile           |  5.21560% | 76949  |  5.216% | 60301  |  5.153% | 
 | 35   | Sableye            |  5.21194% | 76895  |  5.212% | 66074  |  5.646% | 
 | 36   | Thundurus          |  5.01640% | 74010  |  5.016% | 58352  |  4.987% | 
