 Total battles: 133297
 Avg. weight/team: 0.019
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon            | 74.45588% | 114058 | 42.783% | 91595  | 47.094% | 
 | 2    | Rayquaza           | 62.40634% | 103640 | 38.876% | 75292  | 38.712% | 
 | 3    | Xerneas            | 54.72088% | 96501  | 36.198% | 65998  | 33.934% | 
 | 4    | Arceus             | 39.90759% | 52809  | 19.809% | 36658  | 18.848% | 
 | 5    | Kyogre             | 35.58543% | 92776  | 34.800% | 67574  | 34.744% | 
 | 6    | Yveltal            | 23.48969% | 34579  | 12.971% | 25065  | 12.887% | 
 | 7    | Lugia              | 17.76217% | 37622  | 14.112% | 25892  | 13.313% | 
 | 8    | Darkrai            | 14.94919% | 46420  | 17.412% | 34171  | 17.569% | 
 | 9    | Ditto              | 14.06913% | 12331  |  4.625% | 8615   |  4.429% | 
 | 10   | Deoxys-Speed       | 14.01089% | 17770  |  6.666% | 16071  |  8.263% | 
 | 11   | Deoxys-Attack      | 12.15538% | 21758  |  8.161% | 16802  |  8.639% | 
 | 12   | Mewtwo             | 10.81087% | 43857  | 16.451% | 30221  | 15.538% | 
 | 13   | Giratina-Origin    |  9.99872% | 19361  |  7.262% | 14306  |  7.356% | 
 | 14   | Dialga             |  9.76855% | 21117  |  7.921% | 15588  |  8.015% | 
 | 15   | Arceus-Ghost       |  9.70532% | 10119  |  3.796% | 7160   |  3.681% | 
 | 16   | Klefki             |  9.57041% | 11081  |  4.157% | 8996   |  4.625% | 
 | 17   | Ho-Oh              |  8.69277% | 21669  |  8.128% | 15552  |  7.996% | 
 | 18   | Palkia             |  8.33446% | 20149  |  7.558% | 13499  |  6.941% | 
 | 19   | Aegislash          |  8.01752% | 29991  | 11.250% | 21654  | 11.134% | 
 | 20   | Genesect           |  6.79859% | 21082  |  7.908% | 15917  |  8.184% | 
 | 21   | Arceus-Ground      |  6.23731% | 3554   |  1.333% | 2724   |  1.401% | 
 | 22   | Zekrom             |  6.14529% | 19252  |  7.221% | 13188  |  6.781% | 
 | 23   | Salamence          |  5.63444% | 13591  |  5.098% | 10008  |  5.146% | 
 | 24   | Gengar             |  5.51674% | 21061  |  7.900% | 15697  |  8.071% | 
 | 25   | Ferrothorn         |  5.27711% | 13948  |  5.232% | 11325  |  5.823% | 
 | 26   | Kangaskhan         |  5.23325% | 19364  |  7.263% | 15180  |  7.805% | 
 | 27   | Arceus-Fairy       |  5.11711% | 8722   |  3.272% | 6277   |  3.227% | 
 | 28   | Arceus-Rock        |  4.96084% | 2379   |  0.892% | 1753   |  0.901% | 
 | 29   | Chansey            |  4.87870% | 7360   |  2.761% | 5243   |  2.696% | 
 | 30   | Giratina           |  4.82985% | 14481  |  5.432% | 10157  |  5.222% | 
 | 31   | Skarmory           |  4.58949% | 5801   |  2.176% | 4810   |  2.473% | 
 | 32   | Latias             |  4.53092% | 6099   |  2.288% | 4289   |  2.205% | 
 | 33   | Scizor             |  4.38141% | 9345   |  3.505% | 6845   |  3.519% | 
 | 34   | Shuckle            |  3.90407% | 6147   |  2.306% | 5563   |  2.860% | 
 | 35   | Shaymin-Sky        |  3.89625% | 12786  |  4.796% | 8582   |  4.413% | 
 | 36   | Jirachi            |  3.63608% | 4027   |  1.511% | 3019   |  1.552% | 
 | 37   | Blaziken           |  3.60998% | 31748  | 11.909% | 23611  | 12.140% | 
 | 38   | Kyurem-White       |  3.48959% | 12066  |  4.526% | 7830   |  4.026% | 
 | 39   | Landorus-Therian   |  3.44642% | 6955   |  2.609% | 5584   |  2.871% | 
 | 40   | Sableye            |  3.20995% | 5823   |  2.184% | 4761   |  2.448% | 
 | 41   | Scolipede          |  3.18645% | 7085   |  2.658% | 6042   |  3.107% | 
 | 42   | Latios             |  2.67627% | 9301   |  3.489% | 6736   |  3.463% | 
 | 43   | Arceus-Steel       |  2.55178% | 7252   |  2.720% | 5111   |  2.628% | 
 | 44   | Deoxys-Defense     |  2.01010% | 12672  |  4.753% | 10553  |  5.426% | 
 | 45   | Tentacruel         |  1.95382% | 1700   |  0.638% | 1305   |  0.671% | 
 | 46   | Arceus-Water       |  1.81946% | 3187   |  1.195% | 2383   |  1.225% | 
 | 47   | Mawile             |  1.72885% | 7658   |  2.873% | 5643   |  2.901% | 
 | 48   | Cloyster           |  1.57732% | 4062   |  1.524% | 3091   |  1.589% | 
 | 49   | Lucario            |  1.49564% | 13964  |  5.238% | 10339  |  5.316% | 
 | 50   | Thundurus          |  1.49242% | 4118   |  1.545% | 3097   |  1.592% | 
 | 51   | Smeargle           |  1.45512% | 8748   |  3.281% | 7492   |  3.852% | 
 | 52   | Forretress         |  1.41320% | 4567   |  1.713% | 3919   |  2.015% | 
 | 53   | Arceus-Poison      |  1.32970% | 2377   |  0.892% | 1561   |  0.803% | 
 | 54   | Blissey            |  1.30332% | 5766   |  2.163% | 3966   |  2.039% | 
 | 55   | Arceus-Dark        |  1.29680% | 1781   |  0.668% | 1212   |  0.623% | 
 | 56   | Diancie            |  1.29046% | 4201   |  1.576% | 3328   |  1.711% | 
 | 57   | Wobbuffet          |  1.27760% | 2853   |  1.070% | 2206   |  1.134% | 
 | 58   | Arceus-Electric    |  1.07309% | 3023   |  1.134% | 2083   |  1.071% | 
 | 59   | Xatu               |  1.04696% | 697    |  0.261% | 560    |  0.288% | 
 | 60   | Uxie               |  0.93251% | 1519   |  0.570% | 1351   |  0.695% | 
