 Total battles: 120490
 Avg. weight/team: 0.012
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Jirachi            | 23.57631% | 25648  | 10.643% | 20936  | 10.771% | 
 | 2    | Suicune            | 16.01555% | 16155  |  6.704% | 13000  |  6.688% | 
 | 3    | Forretress         | 15.59934% | 25499  | 10.581% | 22481  | 11.566% | 
 | 4    | Crobat             | 14.13209% | 30135  | 12.505% | 24572  | 12.642% | 
 | 5    | Altaria            | 14.03869% | 9679   |  4.017% | 7705   |  3.964% | 
 | 6    | Krookodile         | 13.54046% | 14587  |  6.053% | 11721  |  6.030% | 
 | 7    | Darmanitan         | 12.66508% | 28611  | 11.873% | 23125  | 11.897% | 
 | 8    | Diancie            | 12.66211% | 19304  |  8.011% | 15780  |  8.118% | 
 | 9    | Sableye            | 12.34799% | 23372  |  9.699% | 20063  | 10.322% | 
 | 10   | Blissey            | 12.07688% | 17802  |  7.387% | 13810  |  7.105% | 
 | 11   | Swampert           | 12.06880% | 25707  | 10.668% | 22311  | 11.478% | 
 | 12   | Raikou             | 11.64500% | 15128  |  6.278% | 11791  |  6.066% | 
 | 13   | Hydreigon          | 11.61957% | 27354  | 11.351% | 21313  | 10.965% | 
 | 14   | Zygarde            | 11.42767% | 7447   |  3.090% | 5750   |  2.958% | 
 | 15   | Florges            | 11.05711% | 28934  | 12.007% | 23016  | 11.841% | 
 | 16   | Tentacruel         | 10.76197% | 16258  |  6.747% | 13663  |  7.029% | 
 | 17   | Mienshao           | 10.50433% | 19672  |  8.163% | 16017  |  8.240% | 
 | 18   | Empoleon           | 10.16420% | 17589  |  7.299% | 15135  |  7.787% | 
 | 19   | Infernape          |  9.57092% | 25450  | 10.561% | 20734  | 10.667% | 
 | 20   | Lucario            |  9.42985% | 16462  |  6.831% | 12333  |  6.345% | 
 | 21   | Vaporeon           |  9.34467% | 17177  |  7.128% | 14209  |  7.310% | 
 | 22   | Donphan            |  9.02205% | 24372  | 10.114% | 21083  | 10.847% | 
 | 23   | Chandelure         |  8.57459% | 24215  | 10.049% | 19196  |  9.876% | 
 | 24   | Blastoise          |  8.25939% | 24470  | 10.154% | 20420  | 10.506% | 
 | 25   | Entei              |  7.66696% | 12852  |  5.333% | 10363  |  5.331% | 
 | 26   | Staraptor          |  7.49186% | 5523   |  2.292% | 4317   |  2.221% | 
 | 27   | Chesnaught         |  7.36153% | 19940  |  8.275% | 15914  |  8.187% | 
 | 28   | Lopunny            |  7.24291% | 9586   |  3.978% | 8246   |  4.242% | 
 | 29   | Gligar             |  7.08020% | 5629   |  2.336% | 4757   |  2.447% | 
 | 30   | Rotom-Heat         |  6.87546% | 18502  |  7.678% | 16208  |  8.339% | 
 | 31   | Alakazam           |  6.87300% | 23102  |  9.587% | 17170  |  8.834% | 
 | 32   | Umbreon            |  6.78239% | 20211  |  8.387% | 15939  |  8.200% | 
 | 33   | Azelf              |  6.67249% | 14003  |  5.811% | 12077  |  6.213% | 
 | 34   | Shaymin            |  6.61615% | 10610  |  4.403% | 8218   |  4.228% | 
 | 35   | Roserade           |  6.57742% | 18842  |  7.819% | 14694  |  7.560% | 
 | 36   | Togekiss           |  6.55394% | 4013   |  1.665% | 3266   |  1.680% | 
 | 37   | Beedrill           |  6.48890% | 11746  |  4.874% | 9789   |  5.036% | 
 | 38   | Arcanine           |  6.44011% | 26596  | 11.037% | 21950  | 11.293% | 
 | 39   | Bronzong           |  6.13797% | 4592   |  1.906% | 4066   |  2.092% | 
 | 40   | Nidoqueen          |  5.73271% | 7461   |  3.096% | 6370   |  3.277% | 
 | 41   | Machamp            |  5.54526% | 14582  |  6.051% | 11855  |  6.099% | 
 | 42   | Celebi             |  5.50516% | 13031  |  5.408% | 10468  |  5.386% | 
 | 43   | Snorlax            |  5.41128% | 12217  |  5.070% | 9640   |  4.960% | 
 | 44   | Salamence          |  5.15676% | 3594   |  1.491% | 2703   |  1.391% | 
 | 45   | Aggron             |  5.02577% | 21100  |  8.756% | 17625  |  9.068% | 
 | 46   | Porygon-Z          |  5.01813% | 20128  |  8.353% | 15099  |  7.768% | 
 | 47   | Galvantula         |  4.74605% | 22948  |  9.523% | 20624  | 10.611% | 
 | 48   | Honchkrow          |  4.68415% | 18371  |  7.623% | 13777  |  7.088% | 
 | 49   | Volcarona          |  4.63998% | 3615   |  1.500% | 2856   |  1.469% | 
