 Total battles: 737681
 Avg. weight/team: 0.553
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Greninja           | 25.08178% | 340569 | 23.084% | 255567 | 21.840% | 
 | 2    | Ferrothorn         | 19.34818% | 264055 | 17.898% | 231488 | 19.782% | 
 | 3    | Rotom-Wash         | 18.24303% | 235692 | 15.975% | 203429 | 17.384% | 
 | 4    | Landorus-Therian   | 17.74468% | 213666 | 14.482% | 185662 | 15.866% | 
 | 5    | Heatran            | 16.23549% | 206055 | 13.966% | 173494 | 14.826% | 
 | 6    | Talonflame         | 15.33207% | 211433 | 14.331% | 165268 | 14.123% | 
 | 7    | Latios             | 12.62281% | 164537 | 11.152% | 120508 | 10.298% | 
 | 8    | Azumarill          | 12.11312% | 170355 | 11.547% | 137286 | 11.732% | 
 | 9    | Scizor             | 11.48644% | 157182 | 10.654% | 126614 | 10.820% | 
 | 10   | Latias             | 11.41019% | 141044 |  9.560% | 101936 |  8.711% | 
 | 11   | Gengar             | 10.02566% | 154355 | 10.462% | 115853 |  9.900% | 
 | 12   | Salamence          |  9.79266% | 137097 |  9.292% | 107143 |  9.156% | 
 | 13   | Excadrill          |  9.66861% | 130919 |  8.874% | 99181  |  8.476% | 
 | 14   | Conkeldurr         |  9.65893% | 132204 |  8.961% | 107245 |  9.165% | 
 | 15   | Charizard          |  9.51988% | 158954 | 10.774% | 126230 | 10.787% | 
 | 16   | Skarmory           |  9.32134% | 124683 |  8.451% | 107153 |  9.157% | 
 | 17   | Magnezone          |  9.23880% | 119383 |  8.092% | 96225  |  8.223% | 
 | 18   | Garchomp           |  9.20206% | 138350 |  9.377% | 107784 |  9.211% | 
 | 19   | Dragonite          |  8.96497% | 138087 |  9.360% | 102063 |  8.722% | 
 | 20   | Bisharp            |  8.85095% | 118544 |  8.035% | 89357  |  7.636% | 
 | 21   | Tyranitar          |  8.46562% | 120849 |  8.191% | 99173  |  8.475% | 
 | 22   | Clefable           |  8.32505% | 110185 |  7.468% | 86436  |  7.387% | 
 | 23   | Gliscor            |  7.99204% | 125860 |  8.531% | 98978  |  8.458% | 
 | 24   | Slowbro            |  7.97237% | 108727 |  7.370% | 87649  |  7.490% | 
 | 25   | Breloom            |  7.78159% | 117101 |  7.937% | 91876  |  7.851% | 
 | 26   | Metagross          |  7.72255% | 110069 |  7.460% | 87028  |  7.437% | 
 | 27   | Chansey            |  7.64808% | 102978 |  6.980% | 79678  |  6.809% | 
 | 28   | Mamoswine          |  7.64399% | 101522 |  6.881% | 84348  |  7.208% | 
 | 29   | Sylveon            |  6.83037% | 100486 |  6.811% | 77530  |  6.625% | 
 | 30   | Keldeo             |  6.42897% | 79593  |  5.395% | 61420  |  5.249% | 
 | 31   | Thundurus          |  5.88932% | 74010  |  5.016% | 58352  |  4.987% | 
