 Total battles: 133297
 Avg. weight/team: 0.564
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon            | 50.16814% | 114058 | 42.783% | 91595  | 47.094% | 
 | 2    | Rayquaza           | 44.72984% | 103640 | 38.876% | 75292  | 38.712% | 
 | 3    | Xerneas            | 42.25234% | 96501  | 36.198% | 65998  | 33.934% | 
 | 4    | Kyogre             | 38.22594% | 92776  | 34.800% | 67574  | 34.744% | 
 | 5    | Arceus             | 25.03167% | 52809  | 19.809% | 36658  | 18.848% | 
 | 6    | Darkrai            | 17.90188% | 46420  | 17.412% | 34171  | 17.569% | 
 | 7    | Mewtwo             | 16.47044% | 43857  | 16.451% | 30221  | 15.538% | 
 | 8    | Lugia              | 16.16525% | 37622  | 14.112% | 25892  | 13.313% | 
 | 9    | Yveltal            | 14.88406% | 34579  | 12.971% | 25065  | 12.887% | 
 | 10   | Aegislash          | 11.23042% | 29991  | 11.250% | 21654  | 11.134% | 
 | 11   | Blaziken           | 10.87395% | 31748  | 11.909% | 23611  | 12.140% | 
 | 12   | Deoxys-Attack      |  9.67672% | 21758  |  8.161% | 16802  |  8.639% | 
 | 13   | Ho-Oh              |  9.07223% | 21669  |  8.128% | 15552  |  7.996% | 
 | 14   | Genesect           |  8.72306% | 21082  |  7.908% | 15917  |  8.184% | 
 | 15   | Dialga             |  8.36143% | 21117  |  7.921% | 15588  |  8.015% | 
 | 16   | Palkia             |  8.17361% | 20149  |  7.558% | 13499  |  6.941% | 
 | 17   | Deoxys-Speed       |  8.01583% | 17770  |  6.666% | 16071  |  8.263% | 
 | 18   | Giratina-Origin    |  7.88519% | 19361  |  7.262% | 14306  |  7.356% | 
 | 19   | Zekrom             |  7.55342% | 19252  |  7.221% | 13188  |  6.781% | 
 | 20   | Kangaskhan         |  7.49700% | 19364  |  7.263% | 15180  |  7.805% | 
 | 21   | Gengar             |  7.09557% | 21061  |  7.900% | 15697  |  8.071% | 
 | 22   | Giratina           |  6.19900% | 14481  |  5.432% | 10157  |  5.222% | 
